school_code,date,meal,served_total,offered_total,planned_total,discarded_total,leftover_total,production_cost_total,discarded_cost_total,school_name,region,region_num,school_level,distribution_kitchen,fns_area,cep,school_name_norm,cost_per_meal,deviation_vs_planned,waste_qty,waste_rate,discarded_cost_per_meal,year,month,week,day
304,2025-05-29,Lunch,50.0,26.0,1300.0,9338.0,388.0,582.54,27.08,Armstrong Elementary,Region 1,1,ES,Herndon,4,0,ARMSTRONG ES,11.650799999999998,-1250.0,9338.0,359.15384615384613,0.5416000000000001,2025,5,22,29
304,2025-05-29,Breakfast,2.0,12.0,392.0,3334.0000000000005,104.0,101.02,0.94,Armstrong Elementary,Region 1,1,ES,Herndon,4,0,ARMSTRONG ES,50.51,-390.0,3334.0000000000005,277.83333333333337,0.47,2025,5,22,29
42,2025-05-29,Breakfast,8.0,0.0,118.0,11076.0,90.0,45.54,3.44,Wolftrap Elementary,Region 1,1,ES,Marshall,10,0,WOLFTRAP ES,5.6925,-110.0,11076.0,0.0,0.43,2025,5,22,29
130,2025-05-29,Lunch,346.0,0.0,22738.0,41728.0,1414.0,4325.04,137.58,Woodson High,Region 5,5,HS,Chantilly,1,0,WOODSON HS,12.500115606936417,-22392.0,41728.0,0.0,0.3976300578034682,2025,5,22,29
111,2025-05-29,Breakfast,0.0,0.0,2804.0,0.0,550.0,1039.58,0.0,Holmes Middle,Region 6,6,MS,Hayfield,3,1,HOLMES MS,0.0,-2804.0,550.0,0.0,0.0,2025,5,22,29
130,2025-05-29,Breakfast,0.0,0.0,1528.0,0.0,190.0,253.62,0.0,Woodson High,Region 5,5,HS,Chantilly,1,0,WOODSON HS,0.0,-1528.0,190.0,0.0,0.0,2025,5,22,29
111,2025-05-29,Lunch,14.0,36.0,4862.0,2592.0,1806.0,2638.04,17.64,Holmes Middle,Region 6,6,MS,Hayfield,3,1,HOLMES MS,188.43142857142857,-4848.0,2592.0,72.0,1.26,2025,5,22,29
20,2025-05-29,Lunch,16.0,1670.0,3908.0,1496.0,614.0,2102.52,3.56,Langley High,Region 1,1,HS,Marshall,5,0,LANGLEY HS,131.4075,-3892.0,1496.0,0.895808383233533,0.2225,2025,5,22,29
71,2025-05-29,Lunch,0.0,0.0,4336.0,0.0,232.0,2045.16,0.0,Kilmer Middle,Region 5,5,MS,Marshall,5,0,KILMER MS,0.0,-4336.0,232.0,0.0,0.0,2025,5,22,29
36,2025-05-29,Breakfast,0.0,0.0,254.0,0.0,214.0,91.0,0.0,Kent Gardens Elementary,Region 2,2,ES,Marshall,5,0,KENT GARDENS ES,0.0,-254.0,214.0,0.0,0.0,2025,5,22,29
133,2025-05-29,Lunch,86.0,388.0,1392.0,29306.0,248.0,523.1,10.5,Little Run Elementary,Region 5,5,ES,Chantilly,1,0,LITTLE RUN ES,6.082558139534884,-1306.0,29306.0,75.53092783505154,0.1220930232558139,2025,5,22,29
378,2025-05-29,Breakfast,0.0,86.0,652.0,0.0,66.0,247.8,0.0,Hunt Valley Elementary,Region 4,4,ES,South County,7,0,HUNT VALLEY ES,0.0,-652.0,66.0,0.7674418604651163,0.0,2025,5,22,29
287,2025-05-29,Breakfast,0.0,0.0,2226.0,0.0,856.0,622.5,0.0,Hutchison Elementary,Region 1,1,ES,Herndon,4,1,HUTCHISON ES,0.0,-2226.0,856.0,0.0,0.0,2025,5,22,29
