school_name,session,served_wmape,cpm_mae,wastecost_mae,waste_per_100_implied,stockout_day_rate_implied
Forest Edge Elementary,Breakfast,0.9,22.66329268292683,8.63625,66.66666666666667,14.285714285714286
Forestdale Elementary,Breakfast,1.0,,7.29125,0.0,0.0
Forestville Elementary,Breakfast,0.5625,6.47995452535081,8.626999999999999,36.71875,35.0
Fort Belvoir Primary Elementary,Breakfast,0.6666666666666666,142.7496252436647,62.690250000000006,25.28735632183908,30.0
Fort Belvoir Upper Elementary,Breakfast,0.22916666666666666,35.72054166666666,22.48925,16.666666666666668,20.0
Fort Hunt Elementary,Breakfast,1.1790123456790123,40.01199693984178,12.3335,104.93827160493827,25.0
Fox Mill Elementary,Breakfast,0.8461538461538461,27.040901515151518,6.177749999999999,53.7037037037037,41.1764705882353
Franconia Elementary,Breakfast,0.0,26.375000000000007,19.427249999999997,550.0,0.0
Franklin Middle,Breakfast,0.6363636363636364,13.687026495726496,10.920499999999999,81.81818181818181,36.8421052631579
Franklin Sherman Elementary,Breakfast,0.9615384615384616,27.0975,5.6370000000000005,33.333333333333336,35.294117647058826
Freedom Hill Elementary,Breakfast,0.9166666666666666,57.49472023809524,18.35275,37.83783783783784,26.31578947368421
Frost Middle,Breakfast,1.0,59.58333333333333,13.898,171.42857142857142,20.0
Garfield Elementary,Breakfast,1.0,,6.437,1200.0,0.0
Glasgow Middle,Breakfast,,,25.65,,
Glen Forest Elementary,Breakfast,,,24.285249999999998,,
Graham Road Elementary,Breakfast,0.9772727272727273,150.13916666666665,10.04625,9.523809523809524,17.647058823529413
Great Falls Elementary,Breakfast,0.7380952380952381,20.193902777777783,8.052749999999998,96.42857142857143,30.0
Greenbriar East Elementary,Breakfast,1.16,99.92880952380952,20.752249999999997,60.60606060606061,63.63636363636363
Greenbriar West Elementary,Breakfast,0.7425742574257426,37.94322871656378,5.571249999999999,36.633663366336634,45.0
Groveton Elementary,Breakfast,,,17.205526315789474,,
Gunston Elementary,Breakfast,0.9578947368421052,46.40973824281598,12.489250000000002,67.89473684210526,40.0
HAYFIELD SS,Breakfast,1.0,,25.197249999999993,300.0,0.0
HERNDON HS,Breakfast,,,8.44275,,
Halley Elementary,Breakfast,0.46153846153846156,72.05849074074074,8.88075,51.282051282051285,20.0
Haycock Elementary,Breakfast,1.0,,7.766499999999999,2700.0,0.0
Hayfield Elementary,Breakfast,1.0,,6.1515,0.0,0.0
Herndon Elementary,Breakfast,0.3780487804878049,72.81134210526317,5.42175,39.02439024390244,10.0
Herndon Middle,Breakfast,1.0,155.60103773584905,10.33175,1.8867924528301887,7.6923076923076925
Hollin Meadows Elementary,Breakfast,,,8.73425,,
Holmes Middle,Breakfast,1.0,,46.96775,200.0,0.0
Hughes Middle,Breakfast,1.0,,15.6905,800.0,0.0
